obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"584.985"	"3h"	""		"9.7893002"	"11.908158"	3	3		
"585.6509"	"15"	""		"9.5801530"	"11.6965990"	3	5		
"587.5018"	"100"	""		"9.5801530"	"11.6899309"	3	5		
"587.892"	"6"	""		"9.5697254"	"11.678101"	3	5		
"588.912"	"20"	""		"9.7893002"	"11.894027"	3	5		
"589.4988"	"100"	""		"9.5801530"	"11.6827835"	3	3		
"589.562"	"2h"	""		"9.7893002"	"11.8916815"	3	3		
"589.856"	"8"	""		"9.7893002"	"11.8906550"	3	5		
"590.4462"	"20"	""		"9.7207407"	"11.8199992"	7	7		
"590.676"	"3"	""		"9.5697254"	"11.668172"	3	5		
"591.190"	"5*"	""		"9.8210940"	"11.917705"	5	3		
"591.190"	"5*"	""		"9.7207407"	"11.8173556"	7	5		
"591.665"	"4"	"1.30e+05"	B	"9.8210940"	"11.916025"	5	5		
"592.185"	"10"	""		"9.5697254"	"11.662815"	3	3		
"592.2550"	"20"	""		"9.7207407"	"11.8135874"	7	7		
"592.556"	"6"	""		"9.7207407"	"11.8125220"	7	5		
"593.1241"	"80"	""		"9.5801530"	"11.6699311"	3	1		
"593.4172"	"100"	""		"9.7207407"	"11.8094891"	7	9		
"596.328"	"4"	""		"9.7893002"	"11.867885"	3	1		
"597.282"	"1h"	""		"9.9170767"	"11.99231"	3	3		
"597.4152"	"40"	""		"9.8210940"	"11.8958601"	5	7		
"597.829"	"2"	""		"9.9431148"	"12.016451"	9	11		
"597.942"	"1"	""		"9.8210940"	"11.894027"	5	5		
"598.623"	"4"	""		"9.8210940"	"11.8916815"	5	3		
"598.918"	"30"	""		"9.8210940"	"11.8906550"	5	5		
"599.8115"	"30"	"5.80e+05"	B+	"9.6856205"	"11.7521006"	5	3		
"600.7909"	"15"	"1.60e+05"	B+	"9.6856205"	"11.7487336"	5	5		
"600.978"	"8"	"2.10e+05"	B	"9.7893002"	"11.851770"	3	3		
"601.410"	"1h"	"1.3e+04"	C	"9.7893002"	"11.8502809"	3	5		
"602.289"	"1h-"	""		"9.9587513"	"12.016736"	5	7		
"602.676"	"4"	""		"9.8210940"	"11.8777586"	5	3		
"602.978"	"15*"	""		"10.9984481"	"13.05407"	5	5		
"602.978"	"15*"	""		"10.9984481"	"13.05407"	5	7		
"603.136"	"1h-"	""		"9.9334853"	"11.988576"	1	3		
"603.492"	"2"	""		"9.6856205"	"11.7395017"	5	3		
"604.338"	"10"	""		"9.7893002"	"11.840302"	3	3		
"604.800"	"6h"	""		"9.9431148"	"11.992554"	9	11		
"606.491"	"1h"	""		"9.9170767"	"11.960804"	3	5		
"606.752"	"2h"	""		"9.9170767"	"11.959921"	3	5		
"606.777"	"1h"	""		"9.9170767"	"11.959842"	3	3		
"609.338"	"3"	""		"9.9587513"	"11.992928"	5	7		
"609.515"	"1-"	""		"9.9587513"	"11.99231"	5	3		
"610.388"	"3"	"1.20e+05"	B	"9.8210940"	"11.851770"	5	3		
"610.837"	"8"	"1.80e+05"	C+	"9.8210940"	"11.8502809"	5	5		
"611.1761"	"30"	""		"9.7893002"	"11.8173556"	3	5		
"611.1951"	"40"	"7.0e+05"	C	"9.7207407"	"11.7487336"	7	5		
"611.486"	"10"	""		"9.5801530"	"11.607182"	3	3		
"612.391"	"5"	""		"9.8903766"	"11.914417"	1	3		
"612.636"	"15"	""		"9.7893002"	"11.8125220"	3	5		
"613.147"	"1"	""		"9.9334853"	"11.955024"	1	3		
"614.213"	"1h"	""		"9.9431148"	"11.961146"	9	9		
"614.370"	"4"	""		"9.7893002"	"11.8068167"	3	3		
"614.497"	"20hw"	""		"9.9431148"	"11.960214"	9	11		
"615.2070"	"20"	""		"9.6856205"	"11.7003882"	5	7		
"616.216"	"3"	""		"9.7893002"	"11.8007639"	3	1		
"616.3661"	"90"	""		"9.6856205"	"11.6965990"	5	5		
"616.3935"	"80"	""		"9.5697254"	"11.5806159"	3	5		
"617.8303"	"150"	""		"9.5697254"	"11.5759390"	3	5		
"617.9665"	"120"	""		"9.5697254"	"11.5754959"	3	3		
"618.2420"	"300"	""		"9.6856205"	"11.6904980"	5	7		
"618.416"	"3"	""		"9.6856205"	"11.6899309"	5	5		
"618.910"	"20"	"1.30e+05"	B	"9.5801530"	"11.5828652"	3	3		
"619.140"	"4h"	""		"9.9587513"	"11.960722"	5	7		
"619.389"	"1h"	""		"9.9587513"	"11.959921"	5	5		
"619.549"	"1"	""		"9.4471951"	"11.4478412"	1	3		
"619.8260"	"100"	"6.60e+05"	B+	"9.5801530"	"11.5799075"	3	5		
"620.0892"	"60"	""		"9.8210940"	"11.8199992"	5	7		
"620.149"	"3h"	""		"9.9170767"	"11.915794"	3	5		
"620.535"	"6h"	""		"9.9170767"	"11.914548"	3	5		
"620.575"	"4"	""		"9.9170767"	"11.914417"	3	3		
"620.6297"	"20"	""		"9.6856205"	"11.6827835"	5	3		
"620.911"	"3"	""		"9.8210940"	"11.8173556"	5	5		
"622.084"	"1"	""		"9.8210940"	"11.8135874"	5	7		
"622.4168"	"40"	""		"9.8210940"	"11.8125220"	5	5		
"623.081"	"4*"	""		"11.0647538"	"13.05407"	5	7		
"623.081"	"4*"	""		"11.0647538"	"13.05407"	5	5		
"624.209"	"8"	""		"9.8210940"	"11.8068167"	5	3		
"626.1212"	"50"	""		"9.7207407"	"11.7003882"	7	7		
"626.5302"	"40*"	""		"9.4471951"	"11.4255504"	1	3		
"626.5302"	"40*"	""		"9.9587513"	"[11.93715]"	5	3		
"626.834"	"1h"	""		"10.0390549"	"12.016451"	7	9		
"627.323"	"10"	""		"9.7207407"	"11.6965990"	7	5		
"627.699"	"4"	""		"9.9334853"	"11.908158"	1	3		
"628.181"	"5h"	""		"9.9431148"	"11.916275"	9	9		
"628.6011"	"100"	""		"9.9431148"	"11.914956"	9	11		
"629.2649"	"50"	""		"9.7207407"	"11.6904980"	7	7		
"629.445"	"15"	""		"9.7207407"	"11.6899309"	7	5		
"631.497"	"15"	"3.10e+05"	B+	"9.7893002"	"11.7521006"	3	3		
"631.8062"	"500"	""		"9.7207407"	"11.6825748"	7	9		
"632.581"	"2"	"2.1e+04"	C	"9.7893002"	"11.7487336"	3	5		
"633.150"	"20"	""		"9.8903766"	"11.8480632"	1	3		
"633.397"	"40hl"	""		"9.9587513"	"11.915664"	5	7		
"633.758"	"8hl"	""		"9.9587513"	"11.914548"	5	5		
"634.498"	"2h"	""		"10.0390549"	"11.992565"	7	9		
"635.577"	"20"	""		"9.7893002"	"11.7395017"	3	3		
"638.324"	""	""		"9.9431148"	"11.884900"	9	7		
"640.705"	""	""		"10.1574692"	"12.09208"	5	5		
"641.238"	"10"	""		"9.9170767"	"11.850063"	3	5		
"641.841"	"30"	""		"9.9170767"	"11.8482457"	3	5		
"641.898"	"30h"	""		"9.9170767"	"11.8480632"	3	3		
"642.133"	""	""		"10.1574692"	"12.08775"	5	5		
"643.0155"	"20"	"3.00e+05"	B+	"9.8210940"	"11.7487336"	5	5		
"643.501"	""	""		"9.9587513"	"11.884900"	5	7		
"643.832"	""	""		"10.1574692"	"12.08266"	5	5		
"643.890"	""	""		"9.9587513"	"[11.88371]"	5	5		
"644.870"	"2h*"	""		"10.0390549"	"11.961146"	7	9		
"644.870"	"2h*"	""		"10.0390549"	"11.961146"	7	7		
"645.048"	"7"	""		"9.6856205"	"11.607182"	5	3		
"645.179"	"10hl"	""		"10.0390549"	"11.960225"	7	9		
"645.871"	""	""		"10.1574692"	"12.07653"	5	5		
"646.150"	"3"	"1.20e+05"	C+	"9.9334853"	"11.851770"	1	3		
"646.9705"	"300"	""		"9.5801530"	"11.4960046"	3	5		
"647.2841"	"150"	""		"9.5801530"	"11.4950757"	3	3		
"648.363"	""	""		"10.1574692"	"12.06918"	5	5		
"648.7765"	"120"	"9.40e+05"	B	"9.5801530"	"11.4906715"	3	5		
"649.743"	"30hl"	""		"9.9431148"	"11.850801"	9	9		
"649.8717"	"100"	""		"9.7893002"	"11.6965990"	3	5		
"650.037"	"15*"	""		"9.9431148"	"11.8499088"	9	7		
"650.037"	"15*"	""		"9.9334853"	"11.840302"	1	3		
"650.418"	"200h"	""		"9.9431148"	"11.848815"	9	11		
"650.438"	""	""		"9.5697254"	"11.4753742"	3	1		
"650.750"	""	""		"8.3153161"	"10.2200428"	5	7	M1	
"652.1508"	"40"	""		"9.7893002"	"11.6899309"	3	5		
"653.3159"	"100"	"1.03e+06"	B+	"9.6856205"	"11.5828652"	5	3		
"654.3360"	"40"	"2.70e+05"	B+	"9.6856205"	"11.5799075"	5	5		
"654.612"	"20"	""		"9.7893002"	"11.6827835"	3	3		
"655.260"	""	""		"10.1574692"	"12.04908"	5	7		
"655.299"	""	""		"10.1574692"	"12.04897"	5	5		
"655.366"	"4"	""		"9.9587513"	"11.850063"	5	5		
"655.4196"	"50hl"	""		"9.9587513"	"11.8499088"	5	7		
"655.862"	""	""		"9.9170767"	"11.806964"	3	5		
"655.997"	"25"	""		"9.9587513"	"11.8482457"	5	5		
"656.065"	"4h"	""		"9.9587513"	"11.8480632"	5	3		
"656.839"	"30"	""		"10.9984481"	"12.88545"	5	7		
"658.327"	"20"	""		"9.5697254"	"11.4525348"	3	5		
"659.086"	"8"	""		"9.7893002"	"11.6699311"	3	1		
"659.327"	""	""		"10.4010308"	"12.28098"	3	3		
"659.5561"	"100"	""		"9.8210940"	"11.7003882"	5	7		
"659.971"	""	""		"9.5697254"	"11.4478412"	3	3		
"660.158"	""	""		"10.1574692"	"12.03505"	5	7		
"660.206"	""	""		"10.1574692"	"12.03491"	5	5		
"660.287"	"4h*"	""		"10.0390549"	"11.916266"	7	7		
"660.287"	"4h*"	""		"10.0390549"	"11.916275"	7	9		
"660.446"	""	""		"10.0390549"	"11.915794"	7	5		
"660.498"	""	""		"10.0390549"	"11.915664"	7	7		
"660.741"	"30h"	""		"10.0390549"	"11.914974"	7	9		
"660.887"	"10"	""		"9.8210940"	"11.6965990"	5	5		
"662.108"	""	""		"10.2200428"	"12.09208"	7	5		
"663.044"	"2"	""		"9.8210940"	"11.6904980"	5	7		
"663.2464"	"50"	""		"9.8210940"	"11.6899309"	5	5		
"663.638"	""	""		"10.2200428"	"12.08775"	7	5		
"664.875"	"3"	""		"9.5697254"	"11.4339916"	3	5		
"665.467"	""	""		"10.2200428"	"12.08266"	7	5		
"665.792"	"20"	""		"9.8210940"	"11.6827835"	5	3		
"666.485"	"4"	""		"9.9431148"	"11.802865"	9	7		
"666.567"	""	""		"10.1574692"	"12.01699"	5	7		
"666.629"	""	""		"10.1574692"	"12.01682"	5	5		
"666.6965"	"60"	"1.10e+06"	B+	"9.7207407"	"11.5799075"	7	5		
"666.8920"	"150"	""		"9.5801530"	"11.4387736"	3	1		
"667.653"	""	""		"10.2200428"	"12.07653"	7	5		
"667.8972"	"25"	""		"9.5697254"	"11.4255504"	3	3		
"668.1036"	"20"	""		"9.8903766"	"11.7456284"	1	3		
"668.479"	"30*"	""		"11.3014907"	"13.15569"	5	5		
"668.479"	"30*"	""		"11.3014907"	"13.15569"	5	7		
"670.326"	""	""		"10.2200428"	"12.06918"	7	5		
"670.362"	""	""		"10.2200428"	"12.06898"	7	5		
"670.546"	""	""		"10.0390549"	"11.887531"	7	5		
"670.646"	"1"	""		"9.9587513"	"11.806964"	5	5		
"670.825"	"3*"	""		"11.0376796"	"12.88545"	7	7		
"670.825"	"3*"	""		"11.0376796"	"12.88545"	7	7		
"670.825"	"3*"	""		"11.0376796"	"12.88545"	7	9		
"671.293"	"3*"	""		"11.3751242"	"13.22156"	7	7		
"671.293"	"3*"	""		"11.3751242"	"13.22156"	7	7		
"671.293"	"3*"	""		"11.3751242"	"13.22156"	7	5		
"671.939"	""	""		"10.0390549"	"[11.88371]"	7	5		
"672.138"	""	""		"9.9587513"	"11.802865"	5	7		
"672.8008"	"200"	""		"9.5801530"	"11.4224518"	3	3		
"672.857"	"f"	""		"8.3153161"	"10.1574692"	5	5	M1	
"673.614"	""	""		"10.2200428"	"12.06012"	7	5		
"673.650"	""	""		"10.2200428"	"12.05994"	7	5		
"675.193"	""	""		"10.1574692"	"11.99324"	5	7		
"675.279"	""	""		"10.1574692"	"11.99300"	5	5		
"676.712"	"10"	""		"9.9170767"	"11.7487346"	3	5		
"677.757"	"50"	""		"9.9170767"	"11.7459060"	3	5		
"677.860"	"40"	""		"9.9170767"	"11.7456284"	3	3		
"680.812"	"5"	""		"11.0647538"	"12.88545"	5	7		
"681.564"	"12"	"2.10e+05"	B+	"9.9334853"	"11.7521006"	1	3		
"681.838"	"15"	""		"9.7893002"	"11.607182"	3	3		
"682.7315"	"200"	""		"9.4471951"	"11.2626969"	1	3		
"684.096"	"8"	""		"9.6856205"	"11.4975007"	5	7		
"684.150"	"20*"	""		"10.0390549"	"11.850792"	7	7		
"684.150"	"20*"	""		"10.0390549"	"11.850801"	7	9		
"684.427"	"1"	""		"10.0390549"	"11.850063"	7	5		
"684.484"	"2h"	""		"10.0390549"	"11.8499088"	7	7		
"684.6613"	"60"	""		"9.6856205"	"11.4960046"	5	5		
"684.882"	"50"	""		"10.0390549"	"11.848857"	7	9		
"685.013"	"30"	""		"9.6856205"	"11.4950757"	5	3		
"686.019"	"40"	""		"9.9431148"	"11.7499235"	9	9		
"686.320"	"20"	""		"9.9334853"	"11.7395017"	1	3		
"686.558"	"5"	""		"9.9431148"	"11.7485091"	9	7		
"686.6838"	"50"	"9.20e+05"	B	"9.6856205"	"11.4906715"	5	5		
"687.2107"	"100"	""		"9.9431148"	"11.7467834"	9	11		
"688.2155"	"300"	"5.83e+06"	B	"9.6856205"	"11.4866555"	5	7		
"691.082"	"30"	"7.40e+05"	B+	"9.7893002"	"11.5828652"	3	3		
"692.222"	"8"	"3.0e+04"	D+	"9.7893002"	"11.5799075"	3	5		
"692.467"	"15"	""		"9.9587513"	"11.7487346"	5	5		
"692.553"	"100"	""		"9.9587513"	"11.7485091"	5	7		
"693.562"	"50"	""		"9.9587513"	"11.7459060"	5	5		
"693.669"	"8"	""		"9.9587513"	"11.7456284"	5	3		
